;name;github_id;dockerhub_id;pypi_id;npm_id;helm_id;brew_id;apt_id;yum_id;maven_id;category;github_url;homepage;created_at;updated_at;fork_count;open_issue_count;closed_issue_count;star_count;commit_count;latest_stable_release_published_at;latest_stable_release_number;release_count;description;contributor_count;sourcerank;pypi_url;license;dependent_project_count;pypi_dependent_project_count;pypi_monthly_downloads;monthly_downloads;npm_url;npm_dependent_project_count;npm_monthly_downloads;maven_url;maven_dependent_project_count;dockerhub_url;dockerhub_stars;dockerhub_pulls;show;sourcerank_placing;gem_id;conda_id;go_id;conda_url;github_dependent_project_count;pkg_id;cran_od;conda_dependent_project_count;github_release_downloads;zypper_id;docs_url;yarn_id;cran_id;nuget_id;snap_id
186;MLDB;mldbai/mldb;;;;;;;;;others;https://github.com/mldbai/mldb;https://github.com/mldbai/mldb;2015-12-08 16:34:16+00:00;2019-01-08 16:12:51+00:00;78;24.0;3.0;553;3338.0;2017-05-25 19:52:40+00:00;2017.04.17.0;20.0;MLDB is the Machine Learning Database.;15;14;;Apache-2.0;;;;;;;;;;;;;True;3;;;;;;;;;;;;;;;
187;OpenLabeling;Cartucho/OpenLabeling;;;;;;;;;data-labeling;https://github.com/Cartucho/OpenLabeling;https://github.com/Cartucho/OpenLabeling;2018-01-19 14:30:09+00:00;2019-08-22 16:17:25+00:00;131;11.0;22.0;466;155.0;2018-09-06 11:01:08+00:00;1.3;4.0;Label images and video for Computer Vision applications.;13;14;;Apache-2.0;;;;;;;;;;;;;True;3;;;;;;;;;;;;;;;
188;PennAI;EpistasisLab/pennai;moorelab/pennai_lab;;;;;;;;ml-platforms;https://github.com/EpistasisLab/pennai;https://github.com/EpistasisLab/pennai;2017-05-09 14:13:25+00:00;2019-10-25 15:31:43+00:00;23;52.0;132.0;93;3796.0;;;6.0;the Penn AI engine.;38;14;;GPL-3.0;;;;9.0;;;;;;https://hub.docker.com/r/moorelab/pennai_lab;;25.0;False;3;;;;;;;;;149.0;;;;;;
189;ML Hub;ml-tooling/ml-hub;mltooling/ml-hub;;;;;;;;dev-environments;https://github.com/ml-tooling/ml-hub;https://github.com/ml-tooling/ml-hub;2019-06-26 15:05:50+00:00;2019-10-22 12:40:45.352337+00:00;4;;;35;139.0;2019-10-02 11:50:18+00:00;0.1.6;3.0;Multi-user hub which spawns, manages, and proxies multiple workspace..;4;14;;Apache-2.0;;;;457.0;;;;;;https://hub.docker.com/r/mltooling/ml-hub;1.0;1713.0;False;3;;;;;;;;;29.0;;;;;;
190;GANDissect;CSAILVision/gandissect;;;;;;;;;model-viz;https://github.com/CSAILVision/gandissect;https://github.com/CSAILVision/gandissect;2018-11-19 14:16:08+00:00;2019-06-05 17:02:30+00:00;214;6.0;6.0;1438;34.0;;;;Pytorch-based tools for visualizing and understanding the neurons of..;3;13;;MIT;;;;;;;;;;;;;True;3;;;;;;;;;;;;;;;
191;Dex;PatMartin/Dex;;;;;;;;;data-viz;https://github.com/PatMartin/Dex;https://github.com/PatMartin/Dex;2016-03-29 01:55:10+00:00;2019-02-12 02:26:22+00:00;297;3.0;10.0;1160;596.0;;;;Dex : The Data Explorer -- A data visualization tool written in..;1;13;;Apache-2.0;;;;;;;;;;;;;True;3;;;;;;;;;;;;;;;
192;Fabrik;Cloud-CV/Fabrik;;;;;;;;;model-viz;https://github.com/Cloud-CV/Fabrik;https://github.com/Cloud-CV/Fabrik;2016-05-28 17:51:46+00:00;2019-02-10 10:30:41+00:00;236;34.0;93.0;1019;291.0;;;;Collaboratively build, visualize, and design neural nets in browser.;45;13;;GPL-3.0;;;;;;;;;;;;;False;3;;;;;;;;;;;;;;;
193;Openscoring;openscoring/openscoring;;;;;;;;org.openscoring:openscoring;model-deployment;https://github.com/openscoring/openscoring;https://github.com/openscoring/openscoring;2013-04-02 19:44:04+00:00;2019-06-20 10:48:29+00:00;143;6.0;44.0;476;511.0;2019-01-12 09:00:42+00:00;1.4.5;38.0;REST web service for the true real-time scoring (<1 ms) of R,..;1;13;;AGPL-3.0;;;;84.0;;;;https://search.maven.org/artifact/org.openscoring/openscoring;;;;;False;3;;;;;;;;;1354.0;;;;;;
194;FastPhotoStyle;NVIDIA/FastPhotoStyle;;;;;;;;;ml-applications;https://github.com/NVIDIA/FastPhotoStyle;https://github.com/NVIDIA/FastPhotoStyle;2018-02-14 17:29:52+00:00;2019-05-14 09:40:36+00:00;993;37.0;35.0;9914;92.0;;;1.0;Style transfer, deep learning, feature transform.;5;12;;;;;;;;;;;;;;;False;3;;;;;;;;;;;;;;;
195;AlphaPose;MVIG-SJTU/AlphaPose;;;;;;;;;ml-applications;https://github.com/MVIG-SJTU/AlphaPose;https://github.com/MVIG-SJTU/AlphaPose;2018-01-17 02:33:17+00:00;2019-08-01 03:53:43+00:00;851;78.0;356.0;3240;120.0;;;;Real-Time and Accurate Multi-Person Pose Estimation&Tracking System.;9;12;;;;;;;;;;;;;;;False;3;;;;;;;;;;;;;;;
196;makesense.ai;SkalskiP/make-sense;;;;;;;;;data-labeling;https://github.com/SkalskiP/make-sense;https://github.com/SkalskiP/make-sense;2019-06-14 17:22:39+00:00;2019-10-08 07:43:41+00:00;88;10.0;15.0;859;325.0;;;7.0;Free to use online tool for labelling photos. https://makesense.ai.;8;12;;GPL-3.0;;;;;;;;;;;;;False;3;;;;;;;;;;;;;;;
197;jupyter-innotater;ideonate/jupyter-innotater;;jupyter_innotater;;;;;;;data-labeling;https://github.com/ideonate/jupyter-innotater;https://github.com/ideonate/jupyter-innotater;2019-03-05 14:17:36+00:00;2019-07-29 14:12:14+00:00;3;3.0;5.0;24;90.0;2019-07-29 13:00:37+00:00;0.1.7;7.0;Inline data annotator for Jupyter notebooks.;1;12;https://pypi.org/project/jupyter_innotater;MIT;;;72.0;72.0;;;;;;;;;False;3;;;;;;;;;;;;;;;
198;Flotilla;stitchfix/flotilla-os;;;;;;;;;pipelines;https://github.com/stitchfix/flotilla-os;https://github.com/stitchfix/flotilla-os;2017-07-05 20:22:42+00:00;2019-10-29 23:34:11+00:00;7;19.0;26.0;135;225.0;;;;Self-service framework for defining and executing containerized jobs.;8;11;;Apache-2.0;;;;;;;;;;;;;True;3;;;;;;;;;;;;;;;
199;MySQL Workbench;mysql/mysql-workbench;;;;;;;;;db-gui;https://github.com/mysql/mysql-workbench;https://github.com/mysql/mysql-workbench;2015-10-22 13:43:06+00:00;2019-10-14 13:36:19+00:00;132;;;403;;;;;MySQL Workbench is a unified visual tool for database architects,..;18;10;;GPL-2.0;;;;;;;;;;;;;False;3;;;;;;;;;;;;;;;
200;exBERT;bhoov/exbert;;;;;;;;;model-viz;https://github.com/bhoov/exbert;https://github.com/bhoov/exbert;2019-10-14 02:01:13+00:00;2019-10-25 13:31:26+00:00;13;3.0;1.0;95;11.0;;;;A Visual Analysis Tool to Explore Learned Representations in..;3;8;;Apache-2.0;;;;;;;;;;;;;False;3;;;;;;;;;;;;;;;
201;superintendent;janfreyberg/superintendent;;;;;;;;;data-labeling;https://github.com/janfreyberg/superintendent;https://github.com/janfreyberg/superintendent;2017-11-27 09:23:06+00:00;2019-09-29 12:02:43+00:00;8;4.0;10.0;76;137.0;;;;Practical active learning in python.;6;8;;;2.0;;;;;;;;;;;;False;3;;;;;2.0;;;;;;;;;;
202;BERTsearch;Hironsan/bertsearch;;;;;;;;;ml-applications;https://github.com/Hironsan/bertsearch;https://github.com/Hironsan/bertsearch;2019-09-25 20:19:02+00:00;2019-10-03 12:35:31+00:00;31;2.0;1.0;183;14.0;;;;Elasticsearch with BERT for advanced document search.;2;7;;;;;;;;;;;;;;;False;3;;;;;;;;;;;;;;;
