,name,github_id,dockerhub_id,pypi_id,npm_id,helm_id,brew_id,apt_id,yum_id,maven_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,dependent_project_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,show,projectrank_placing,gem_id,conda_id,go_id,conda_url,conda_latest_release_published_at,github_dependent_project_count,pkg_id,cran_id,conda_dependent_project_count,github_release_downloads,zypper_id,yarn_id,docs_url,nuget_id,snap_id,dotnet_id,cargo_id,gitlab_id
212,ML Workspace,ml-tooling/ml-workspace,mltooling/ml-workspace,,,,,,,,dev-environments,https://github.com/ml-tooling/ml-workspace,https://github.com/ml-tooling/ml-workspace,2019-05-27 16:55:15+00:00,2019-10-30 17:39:21+00:00,2019-10-30 17:39:15+00:00,65,5.0,4.0,682,477.0,,,,All-in-one web-based IDE specialized for machine learning and data..,6.0,15,,Apache-2.0,,,,,868.0,,,,,,,,https://hub.docker.com/r/mltooling/ml-workspace,2019-10-04 11:39:05.654300+00:00,4.0,5211.0,True,3,,,,,,,,,,,,,,,,,,
213,FastoNoSQL,fastogt/fastonosql,,,,,,,,,db-gui,https://github.com/fastogt/fastonosql,https://github.com/fastogt/fastonosql,2015-07-18 09:10:48+00:00,2019-10-21 12:35:08+00:00,2019-10-21 12:35:01+00:00,47,11.0,58.0,586,385.0,2019-09-02 13:35:47+00:00,2.5.1,50.0,"FastoNoSQL is a crossplatform Redis, Memcached, SSDB, LevelDB,..",3.0,15,,GPL-3.0,,,,,,,,,,,,,,,,,True,3,,,,,,,,,,,,,,,,,,
214,ImgLab,NaturalIntelligence/imglab,,,,,,,,,data-labeling,https://github.com/NaturalIntelligence/imglab,https://github.com/NaturalIntelligence/imglab,2017-10-25 12:28:24+00:00,2019-10-31 16:34:39+00:00,2019-10-19 09:28:26+00:00,280,28.0,75.0,519,366.0,,,,To speedup and simplify image labeling/ annotation process with..,29.0,15,,MIT,,,,,,,,,,,,,,,,,True,3,,,,,,,,,,,,,,,,,,
215,Semantic Segmentation Editor,Hitachi-Automotive-And-Industry-Lab/semantic-segmentation-editor,hitachiail/semantic-segmentation-editor,,,,,,,,data-labeling,https://github.com/Hitachi-Automotive-And-Industry-Lab/semantic-segmentation-editor,https://github.com/Hitachi-Automotive-And-Industry-Lab/semantic-segmentation-editor,2018-07-25 07:44:38+00:00,2019-10-10 06:11:33+00:00,2019-10-10 06:11:32+00:00,141,11.0,46.0,454,31.0,2019-09-17 22:23:21+00:00,1.1.4,2.0,Web labeling tool for camera and LIDAR data.,2.0,15,,MIT,,,,,46.0,,,,,,,,https://hub.docker.com/r/hitachiail/semantic-segmentation-editor,2018-07-30 16:21:29.496121+00:00,5.0,736.0,True,3,,,,,,,,,,,,,,,,,,
216,RedisAI,RedisAI/RedisAI,redisai/redisai,,,,,,,,model-deployment,https://github.com/RedisAI/RedisAI,https://github.com/RedisAI/RedisAI,2016-09-18 14:59:36+00:00,2019-11-06 18:58:28.676350+00:00,2019-11-06 18:12:41+00:00,29,32.0,81.0,256,355.0,,,7.0,A Redis module for serving tensors and executing deep learning graphs.,15.0,15,,RSAL,,,,,354.0,,,,,,,,https://hub.docker.com/r/redisai/redisai,2019-11-06 18:58:28.676350+00:00,,13480.0,False,3,,,,,,,,,,,,,,,,,,
217,LOST,l3p-cv/lost,l3pcv/lost,,,,,,,,data-labeling,https://github.com/l3p-cv/lost,https://github.com/l3p-cv/lost,2018-11-12 16:04:39+00:00,2019-11-07 22:27:03+00:00,2019-10-17 15:41:12+00:00,31,16.0,29.0,253,1203.0,,,,Label Objects and Save Time (LOST) - Design your own smart Image..,5.0,15,,MIT,,,,,35.0,,,,,,,,https://hub.docker.com/r/l3pcv/lost,2019-10-17 15:30:11.845900+00:00,,428.0,True,3,,,,,,,,,,,,,,,,,,
218,neural-style,anishathalye/neural-style,,,,,,,,,ml-applications,https://github.com/anishathalye/neural-style,https://github.com/anishathalye/neural-style,2015-11-21 23:40:00+00:00,2019-10-06 01:30:41+00:00,2019-10-06 01:29:51+00:00,1420,5.0,111.0,4930,87.0,,,,Neural style in TensorFlow!.,17.0,14,,GPL-3.0,,,,,,,,,,,,,,,,,True,3,,,,,,,,,,,,,,,,,,
219,PocketFlow,Tencent/PocketFlow,,,,,,,,,accelerators,https://github.com/Tencent/PocketFlow,https://github.com/Tencent/PocketFlow,2018-10-31 07:45:21+00:00,2019-05-28 02:57:15+00:00,2019-05-28 02:57:14+00:00,442,68.0,199.0,2320,214.0,,,,An Automatic Model Compression (AutoMC) framework for developing..,11.0,14,,BSD-3-Clause,,,,,,,,,,,,,,,,,True,3,,,,,,,,,,,,,,,,,,
220,Deep Colorization,junyanz/interactive-deep-colorization,,,,,,,,,ml-applications,https://github.com/junyanz/interactive-deep-colorization,https://github.com/junyanz/interactive-deep-colorization,2017-05-08 07:27:47+00:00,2019-10-03 20:28:20+00:00,2019-10-03 20:28:13+00:00,332,20.0,43.0,2012,58.0,,,,Deep learning software for colorizing black and white images with a..,7.0,14,,MIT,,,,,,,,,,,,,,,,,True,3,,,,,,,,,,,,,,,,,,
221,Fabrik,Cloud-CV/Fabrik,,,,,,,,,model-viz,https://github.com/Cloud-CV/Fabrik,https://github.com/Cloud-CV/Fabrik,2016-05-28 17:51:46+00:00,2019-11-05 11:11:42+00:00,2018-12-12 17:25:56+00:00,237,35.0,93.0,1022,291.0,,,,"Collaboratively build, visualize, and design neural nets in browser.",45.0,14,,GPL-3.0,,,,,,,,,,,,,,,,,True,3,,,,,,,,,,,,,,,,,,
