,name,github_id,dockerhub_id,pypi_id,npm_id,helm_id,brew_id,apt_id,yum_id,maven_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,dependent_project_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,show,projectrank_placing,gem_id,conda_id,go_id,conda_url,conda_latest_release_published_at,github_dependent_project_count,pkg_id,cran_id,conda_dependent_project_count,github_release_downloads,zypper_id,yarn_id,docs_url,dockerhub,nuget_id,snap_id,dotnet_id,cargo_id,gitlab_id
128,Sonic,valeriansaliou/sonic,valeriansaliou/sonic,sonic-client,sonic-channel,,,,,com.github.twohou:java-sonic,data-storage,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,2019-02-26 13:16:58+00:00,2019-10-14 16:34:37.841684+00:00,2019-10-14 16:21:57+00:00,215,16.0,143.0,7714,505.0,2019-10-14 16:23:40+00:00,1.2.3,25.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",21.0,22,https://pypi.org/project/sonic-client,MPL-2.0,2019-08-03 09:24:15+00:00,,,631.0,1337.0,https://www.npmjs.com/package/sonic-channel,2019-04-26 19:47:22.519000+00:00,,339.0,,,,https://hub.docker.com/r/valeriansaliou/sonic,2019-10-14 16:34:37.841684+00:00,3.0,3304.0,True,3,,,github.com/expectedsh/go-sonic,,,,,,,,,,,,,,,sonic-server,
129,elasticsearch-head,mobz/elasticsearch-head,mobz/elasticsearch-head,,,,,,,,db-gui,https://github.com/mobz/elasticsearch-head,https://github.com/mobz/elasticsearch-head,2011-06-16 00:49:07+00:00,2019-09-24 03:32:06+00:00,2019-09-24 03:32:05+00:00,1385,156.0,158.0,6573,597.0,2018-04-10 12:30:16+00:00,5.0.0,1.0,A web front end for an elastic search cluster.,68.0,22,,Apache-2.0,,,,,13825.0,,,,,,,,https://hub.docker.com/r/mobz/elasticsearch-head,2017-01-31 05:27:42.416767+00:00,50.0,1396395.0,True,2,,,,,,,,,,,,,,,,,,,
130,Dejavu,appbaseio/dejavu,appbaseio/dejavu,,,,,,,,db-gui,https://github.com/appbaseio/dejavu,https://github.com/appbaseio/dejavu,2016-02-03 17:48:09+00:00,2019-10-28 13:11:48.981707+00:00,2019-10-28 12:56:16+00:00,370,31.0,254.0,6338,642.0,2019-07-17 04:11:02+00:00,3.4.0,51.0,"The Missing Web UI for Elasticsearch: Import, browse and edit data with rich filters and query views, create search..",18.0,22,,MIT,,,,,21990.0,,,,,,,,https://hub.docker.com/r/appbaseio/dejavu,2019-10-28 13:11:48.981707+00:00,23.0,989557.0,True,2,,,,,,,,,,,,,,,,,,,
131,Azure Data Studio,microsoft/azuredatastudio,,,,,,,,,business-intelligence,https://github.com/microsoft/azuredatastudio,https://github.com/microsoft/azuredatastudio,2017-11-02 01:00:13+00:00,2019-11-11 20:37:23+00:00,2019-11-11 18:40:48+00:00,438,1746.0,3313.0,5410,2876.0,2019-11-04 10:38:45+00:00,1.13.0,74.0,"Azure Data Studio is a data management tool that enables working with SQL Server, Azure SQL DB and SQL DW from..",92.0,22,,Custom EULA,,,,,7125.0,,,,,,,,,,,,True,3,,,,,,,,,,163883.0,,,,,,,,,
132,rqlite,rqlite/rqlite,rqlite/rqlite,sqlalchemy_rqlite,rqlite-js,,,,,com.rqlite:rqlite-java,data-storage,https://github.com/rqlite/rqlite,https://github.com/rqlite/rqlite,2014-08-23 04:31:18+00:00,2019-10-30 19:24:55+00:00,2019-10-30 19:24:54+00:00,266,50.0,205.0,4929,1719.0,2019-07-22 00:32:58.180000+00:00,1.0.0,39.0,"The lightweight, distributed relational database built on SQLite.",23.0,22,,MIT,,,,,245.0,https://www.npmjs.com/package/rqlite-js,2019-07-22 00:32:58.180000+00:00,,80.0,,,,https://hub.docker.com/r/rqlite/rqlite,2019-05-10 02:01:55.263845+00:00,8.0,2371.0,True,3,,,github.com/rqlite/gorqlite,,,,,,,5504.0,,,,,,,,,
133,n8n.io,n8n-io/n8n,n8nio/n8n,,n8n,,,,,,job-scheduler,https://github.com/n8n-io/n8n,https://github.com/n8n-io/n8n,2019-06-22 09:24:21+00:00,2019-11-11 20:56:11+00:00,2019-11-10 22:14:36+00:00,243,27.0,43.0,4863,776.0,2019-11-07 21:19:28.319000+00:00,0.34.0,51.0,Free node based Workflow Automation Tool. Easily automate tasks across different services.,21.0,22,,Apache-2.0,,,,,20524.0,https://www.npmjs.com/package/n8n,2019-11-07 21:19:28.319000+00:00,,2305.0,,,,https://hub.docker.com/r/n8nio/n8n,2019-11-07 21:31:03.935767+00:00,9.0,91095.0,True,3,,,,,,,,,,,,,,,,,,,
134,s3cmd,s3tools/s3cmd,,,,,,s3cmd,s3cmd,,data-integration,https://github.com/s3tools/s3cmd,https://github.com/s3tools/s3cmd,2011-06-07 02:08:24+00:00,2019-08-04 08:07:27+00:00,2019-05-21 23:04:04+00:00,737,286.0,407.0,3125,1654.0,2018-07-15 13:08:32+00:00,2.0.2,6.0,Official s3cmd repo -- Command line tool for managing Amazon S3 and CloudFront services.,175.0,22,,GPL-2.0,,,,,47007.0,,,,,,,,,,,,False,3,,,,,,,,,,2632432.0,,,,,,,,,
135,Vespa,vespa-engine/vespa,vespaengine/vespa,,,,,,,,data-processing,https://github.com/vespa-engine/vespa,https://github.com/vespa-engine/vespa,2016-06-03 20:54:20+00:00,2019-11-11 16:49:17+00:00,2019-11-11 12:40:21+00:00,357,84.0,206.0,2994,32338.0,,,,Vespa is an engine for low-latency computation over large data sets.,86.0,22,,Apache-2.0,,1.0,,,11912.0,,,,,,,,https://hub.docker.com/r/vespaengine/vespa,2019-11-11 05:49:15.315100+00:00,5.0,488408.0,True,3,,,,,,1.0,,,,,,,,,,,,,
136,polynote,polynote/polynote,,,,,,,,,dev-environments,https://github.com/polynote/polynote,https://github.com/polynote/polynote,2019-01-12 23:22:41+00:00,2019-11-11 20:43:18+00:00,2019-11-08 23:37:46+00:00,213,110.0,176.0,2894,1201.0,2019-11-08 01:53:07+00:00,0.2.13,30.0,A better notebook for Scala (and more).,15.0,22,,Apache-2.0,,,,,1539.0,,,,,,,,,,,,True,3,,,,,,,,,,9239.0,,,,,,,,,
137,Dolphin Scheduler,apache/incubator-dolphinscheduler,,,,,,,,,job-scheduler,https://github.com/apache/incubator-dolphinscheduler,https://github.com/apache/incubator-dolphinscheduler,2019-03-01 16:39:25+00:00,2019-11-11 13:52:05+00:00,2019-11-01 01:40:00+00:00,849,238.0,274.0,2745,1253.0,2019-11-06 02:20:36+00:00,1.0.0,8.0,"Dolphin Scheduler is a distributed and easy-to-expand visual DAG workflow scheduling system, dedicated to solving the..",51.0,22,,Apache-2.0,,,,,648.0,,,,,,,,,,,,True,3,,,,,,,,,,3892.0,,,,,,,,,
