,name,github_id,dockerhub_id,pypi_id,npm_id,helm_id,brew_id,apt_id,yum_id,maven_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,dependent_project_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,show,projectrank_placing,gem_id,conda_id,go_id,conda_url,conda_latest_release_published_at,github_dependent_project_count,pkg_id,cran_id,conda_dependent_project_count,github_release_downloads,zypper_id,yarn_id,docs_url,dockerhub,nuget_id,snap_id,dotnet_id,cargo_id,pip_id,gitlab_id
61,Kubeflow,kubeflow/kubeflow,,kfp,,,,,,,ml-platforms,https://github.com/kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,2017-11-30 18:44:19+00:00,2020-01-23 14:18:50+00:00,2020-01-23 14:18:48+00:00,1258.0,289.0,2144.0,8274,1830.0,2020-01-09 10:43:38+00:00,0.2.0,68.0,Machine Learning Toolkit for Kubernetes.,190.0,28,https://pypi.org/project/kfp,Apache-2.0,2020-01-20 12:07:25+00:00,4.0,4.0,16834.0,19426.0,,,,,,,,,,,,True,1,,,,,,,,,,57036.0,,,,,,,,,,
62,MariaDB,MariaDB/server,mariadb,,mariadb,bitnami/mariadb,mariadb,mariadb-server,,,data-storage,https://github.com/MariaDB/server,https://github.com/MariaDB/server,2014-05-15 10:58:50+00:00,2020-01-24 19:24:58+00:00,2020-01-24 15:27:38+00:00,922.0,85.0,,6374,,2017-07-19 11:37:42.497000+00:00,2.13.0,18.0,"MariaDB server is a community developed fork of MySQL server. Started by core members of the original MySQL team,..",1639.0,28,,GPL-2.0,,582.0,,,16428240.0,https://www.npmjs.com/package/mariadb,2017-07-19 11:37:42.497000+00:00,582.0,33222.0,,,,https://hub.docker.com/r/_/mariadb,2020-01-16 07:37:35.575850+00:00,3200.0,1114861248.0,False,3,,,,,,,,,,,,,,,,,,,,
63,Camel,apache/camel,,,,,,,,org.apache.camel:camel-core,data-integration,https://github.com/apache/camel,https://github.com/apache/camel,2009-05-21 00:25:36+00:00,2020-01-24 20:16:21+00:00,2020-01-24 18:35:23+00:00,3881.0,1.0,,3076,41781.0,2018-09-02 06:55:49+00:00,2.23.0,165.0,Integration framework that empowers you to easily integrate various systems consuming or producing data.,813.0,28,,Apache-2.0,,6888.0,,,,,,,,https://search.maven.org/artifact/org.apache.camel/camel-core,2018-11-24 09:43:13+00:00,6880.0,,,,,True,2,,,,,,8.0,,,,,,,,apache/camel-k,,,,,,
64,CrateDB,crate/crate,crate,crate,,crate/crate,,,,io.crate:crate-jdbc,data-storage,https://github.com/crate/crate,https://github.com/crate/crate,2013-04-10 09:17:16+00:00,2020-01-24 18:05:16+00:00,2020-01-24 15:51:13+00:00,350.0,93.0,770.0,2790,10351.0,2019-08-01 08:41:09+00:00,0.23.2,73.0,CrateDB is a distributed SQL database that makes it simple to store and analyze massive amounts of machine data in..,79.0,28,https://pypi.org/project/crate,Apache-2.0,2019-09-19 14:56:31+00:00,42.0,42.0,10861.0,179883.0,,,,,,,,https://hub.docker.com/r/_/crate,2020-01-23 18:40:29.557656+00:00,141.0,13690860.0,True,3,,,,,,,,,,,,,,,,,,,,
65,ONNX Runtime,microsoft/onnxruntime,onnx/onnx-ecosystem,onnxruntime,,,,,,,model-deployment,https://github.com/microsoft/onnxruntime,https://github.com/microsoft/onnxruntime,2018-11-10 02:22:53+00:00,2020-01-24 20:25:44+00:00,2020-01-24 04:02:30+00:00,363.0,143.0,564.0,1745,1806.0,2020-01-24 01:25:04+00:00,1.1.1,11.0,"ONNX Runtime: cross-platform, high performance scoring engine for ML models.",133.0,28,https://pypi.org/project/onnxruntime,MIT,2020-01-23 22:16:18+00:00,184.0,33.0,65174.0,65706.0,,,,,,,,https://hub.docker.com/r/onnx/onnx-ecosystem,2019-12-20 01:49:49.751624+00:00,7.0,1015.0,True,1,,,,,,151.0,,,,6447.0,,,,,Microsoft.ML.OnnxRuntime,,,,,
66,Superset,apache/incubator-superset,amancevice/superset,apache-superset,,stable/superset,,,,,business-intelligence,https://github.com/apache/incubator-superset,https://github.com/apache/incubator-superset,2015-07-21 18:55:34+00:00,2020-01-24 19:27:06+00:00,2020-01-24 19:27:05+00:00,5468.0,265.0,3943.0,27870,4755.0,2019-10-12 16:07:20+00:00,0.34.1,11.0,"Apache Superset (incubating) is a modern, enterprise-ready business intelligence web application.",456.0,27,https://pypi.org/project/apache-superset,Apache-2.0,2019-10-12 16:07:20+00:00,2.0,,2762.0,27034.0,,,,,,,,https://hub.docker.com/r/amancevice/superset,2020-01-23 21:32:14.609977+00:00,218.0,1310688.0,True,2,,,,,,2.0,,,,,,,https://superset.incubator.apache.org/,,,,,,,
67,Dgraph,dgraph-io/dgraph,dgraph/dgraph,pydgraph,dgraph-js,,,,,io.dgraph:dgraph4j,data-storage,https://github.com/dgraph-io/dgraph,https://github.com/dgraph-io/dgraph,2015-08-25 07:15:56+00:00,2020-01-24 20:20:17+00:00,2020-01-24 19:16:16+00:00,862.0,235.0,1762.0,12314,4055.0,2019-12-17 04:46:31+00:00,1.0.18,50.0,"Fast, Distributed Graph DB.",130.0,27,https://pypi.org/project/pydgraph,Apache-2.0,2019-09-10 17:43:22+00:00,26.0,10.0,4044.0,43274.0,https://www.npmjs.com/package/dgraph-js,2019-10-01 19:26:44.699000+00:00,16.0,3598.0,,,,https://hub.docker.com/r/dgraph/dgraph,2020-01-24 19:27:37.207518+00:00,51.0,1751571.0,True,3,,,github.com/dgraph-io/dgraph/dgraph,,,,,,,113739.0,,,,,,,,,,
68,PredictionIO,apache/predictionio,predictionio/pio,predictionio,,,,,,,ml-platforms,https://github.com/apache/predictionio,https://github.com/apache/predictionio,2013-01-25 19:42:32+00:00,2020-01-22 13:42:31+00:00,2019-12-12 16:15:01+00:00,1998.0,73.0,,12265,4476.0,2017-10-24 13:13:23+00:00,0.9.9,15.0,"PredictionIO, a machine learning server for developers and ML engineers.",160.0,27,https://pypi.org/project/predictionio,Apache-2.0,2017-10-24 13:13:23+00:00,15.0,15.0,1392.0,1494.0,,,,,,,,https://hub.docker.com/r/predictionio/pio,2018-11-19 00:54:04.830913+00:00,3.0,1528.0,True,2,,,,,,,,,,3824.0,,,,,,,,,,
69,ungit,FredrikNoren/ungit,,,ungit,,,,,,others,https://github.com/FredrikNoren/ungit,https://github.com/FredrikNoren/ungit,2013-05-19 10:44:44+00:00,2020-01-24 20:53:52+00:00,2020-01-18 12:45:24+00:00,566.0,187.0,543.0,8680,3495.0,2019-11-22 10:54:00+00:00,1.5.1,120.0,The easiest way to use git. On any platform. Anywhere.,90.0,27,,MIT,,85.0,,,5145.0,https://www.npmjs.com/package/ungit,2019-11-22 10:27:21.622000+00:00,36.0,4561.0,,,,,,,,True,2,,,,,,49.0,,,,1169.0,,,,,,,,,,
70,bert-as-service,hanxiao/bert-as-service,,bert-serving-server,,,,,,,ml-applications,https://github.com/hanxiao/bert-as-service,https://github.com/hanxiao/bert-as-service,2018-11-12 10:48:50+00:00,2020-01-21 14:22:56+00:00,2020-01-21 14:22:55+00:00,1302.0,172.0,216.0,6643,1615.0,2019-11-26 04:34:01+00:00,1.10.0,57.0,Mapping a variable-length sentence to a fixed-length vector using BERT model.,38.0,27,https://pypi.org/project/bert-serving-server,MIT,2019-12-20 07:07:17+00:00,10.0,10.0,10349.0,10349.0,,,,,,,,,,,,True,1,,,,,,,,,,,,,,,,,,,,
